image,caption
1032460886_4a598ed535.jpg#1,A man stands in front of a skyscraper .
1032460886_4a598ed535.jpg#2,A man stands in front of a very tall building .
1032460886_4a598ed535.jpg#3,Behind the man in a red shirt stands a large skyscraper .
1032460886_4a598ed535.jpg#4,There is a skyscraper in the distance with a man walking in front of the camera .
104136873_5b5d41be75.jpg#0,People sit on the mountainside and check out the view .
104136873_5b5d41be75.jpg#1,Three people are on a hilltop overlooking a green valley .
104136873_5b5d41be75.jpg#2,Three people hang out on top of a big hill .
104136873_5b5d41be75.jpg#3,Three people overlook a green valley .
104136873_5b5d41be75.jpg#4,Three people rest on a ledge above the moutains .
1042590306_95dea0916c.jpg#0,A man and woman pose for the camera while another man looks on .
1042590306_95dea0916c.jpg#1,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1042590306_95dea0916c.jpg#2,A multiracial couple posing for a picture
1042590306_95dea0916c.jpg#3,"Asian man and blond woman holding hands outdoors , man in background watches ."
1042590306_95dea0916c.jpg#4,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051_108ebc19be.jpg#0,A person eats takeout while watching a small television .
1045521051_108ebc19be.jpg#1,A person sits on the floor and eats in front of a television .
1045521051_108ebc19be.jpg#2,A television with a picture of a girl on it .
1045521051_108ebc19be.jpg#3,A young man sits on the floor by the television with a fast food meal in front of him .
1045521051_108ebc19be.jpg#4,Someone is laying in front of the TV eating food .
1048710776_bb5b0a5c7c.jpg#0,a couple of several people sitting on a ledge overlooking the beach
1048710776_bb5b0a5c7c.jpg#1,A group of people sit on a wall at the beach .
1048710776_bb5b0a5c7c.jpg#2,A group of teens sit on a wall by a beach .
1048710776_bb5b0a5c7c.jpg#3,Crowd of people at the beach .
1048710776_bb5b0a5c7c.jpg#4,Several young people sitting on a rail above a crowded beach .
1052358063_eae6744153.jpg#0,A boy takes a jump on his skateboard while another boy with a skateboard watches .
1052358063_eae6744153.jpg#1,A child is performing a skateboard trick while another child with a skateboard leans on a wall .
1052358063_eae6744153.jpg#2,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
1052358063_eae6744153.jpg#3,a young boy skateboarder jumping on a platform on a skateboard .
1052358063_eae6744153.jpg#4,Two skateboarders .
105342180_4d4a40b47f.jpg#0,"A girl paddling down a large river , as seen from behind her ."
105342180_4d4a40b47f.jpg#1,A woman kayaking down a river .
105342180_4d4a40b47f.jpg#2,A woman paddles a boat down a river .
105342180_4d4a40b47f.jpg#3,A woman with a paddle .
105342180_4d4a40b47f.jpg#4,A woman with a paddle sits in a boat on the water .
1053804096_ad278b25f1.jpg#0,A girl in pigtails splashes in the shallow water .
1053804096_ad278b25f1.jpg#1,A girls plays in the surf .
1053804096_ad278b25f1.jpg#2,a girl with pigtails is playing in the ocean by the beach .
1053804096_ad278b25f1.jpg#3,A girl with pigtails plays in the water .
1053804096_ad278b25f1.jpg#4,A young girl in pigtails plays in the water .
1055753357_4fa3d8d693.jpg#0,Two constructions workers sit on a beam taking a break .
1055753357_4fa3d8d693.jpg#1,Two construction workers are sitting up on the side of a building .
1055753357_4fa3d8d693.jpg#2,Two construction workers sitting on an I-beam .
1055753357_4fa3d8d693.jpg#3,Two construction workers take a seat on a steel beam .
1055753357_4fa3d8d693.jpg#4,Two men take a break from construction .
1056249424_ef2a2e041c.jpg#0,The children are playing in the water .
1056249424_ef2a2e041c.jpg#1,"Two boys , one with a yellow and orange ball , play in some water in front of a field ."
1056249424_ef2a2e041c.jpg#2,Two boys play in a puddle .
1056249424_ef2a2e041c.jpg#3,Two children play with a balloon in mud on a sunny day .
1056249424_ef2a2e041c.jpg#4,Two kids are running and playing in some water .
1056338697_4f7d7ce270.jpg#0,A blond woman in a blue shirt appears to wait for a ride .
1056338697_4f7d7ce270.jpg#1,A blond woman is on the street hailing a taxi .
1056338697_4f7d7ce270.jpg#2,"A woman is signaling is to traffic , as seen from behind ."
1056338697_4f7d7ce270.jpg#3,A woman with blonde hair wearing a blue tube top is waving on the side of the street .
1056338697_4f7d7ce270.jpg#4,The woman in the blue dress is holding out her arm at oncoming traffic .
1056359656_662cee0814.jpg#0,A little girl looking at a brochure on train rides
1056359656_662cee0814.jpg#1,a young blond girl with a magizine in her hands
1056359656_662cee0814.jpg#2,A young girl on a train reads a book about train rides .
1056359656_662cee0814.jpg#3,A young girl sits on a seat and looks at a train pamphlet .
1056359656_662cee0814.jpg#4,Child sitting down looking at train ride brochure
106490881_5a2dd9b7bd.jpg#0,A boy in his blue swim shorts at the beach .
106490881_5a2dd9b7bd.jpg#1,A boy smiles for the camera at a beach .
106490881_5a2dd9b7bd.jpg#2,A young boy in swimming trunks is walking with his arms outstretched on the beach .
106490881_5a2dd9b7bd.jpg#3,Children playing on the beach .
106490881_5a2dd9b7bd.jpg#4,The boy is playing on the shore of an ocean .
106514190_bae200f463.jpg#0,A hiker standing high on a bluff overlooking the mountains below .
106514190_bae200f463.jpg#1,a person on ski 's looks from hill over snow covered landscape
106514190_bae200f463.jpg#2,A skier is overlooking a snow-covered mountain .
106514190_bae200f463.jpg#3,A skier is overlooking the beautiful white snow covered landscape .
106514190_bae200f463.jpg#4,A skier pauses on a mountaintop .
1067675215_7336a694d6.jpg#0,A man in blue shorts is laying in the street .
1067675215_7336a694d6.jpg#1,A man in blue shorts lays down outside in a parking lot .
1067675215_7336a694d6.jpg#2,A man laying down in middle of street during heavy traffic .
1067675215_7336a694d6.jpg#3,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .
1067675215_7336a694d6.jpg#4,A shirtless man is laying down in the middle of a busy street .
1067790824_f3cc97239b.jpg#0,A white and black dog and a brown dog in sandy terrain .
1067790824_f3cc97239b.jpg#1,A woolly dog chases a Doberman on a beach .
1067790824_f3cc97239b.jpg#2,One dog is chasing another one on the beach .
1067790824_f3cc97239b.jpg#3,The two large dogs are running through sand .
1067790824_f3cc97239b.jpg#4,Two large dogs chasing each other at the beach .
107318069_e9f2ef32de.jpg#0,A crowd watching air balloons at night .
107318069_e9f2ef32de.jpg#1,A group of hot air balloons lit up at night .
107318069_e9f2ef32de.jpg#2,People are watching hot air balloons in the park .
107318069_e9f2ef32de.jpg#3,People watching hot air balloons .
107318069_e9f2ef32de.jpg#4,Seven large balloons are lined up at nighttime near a crowd .
1075716537_62105738b4.jpg#0,A child with a helmet on his head rides a bike .
1075716537_62105738b4.jpg#1,A little boy rides a bike down a hill on a miniature dirt bike .
1075716537_62105738b4.jpg#2,A young boy in a helmet rides a bike on the road .
1075716537_62105738b4.jpg#3,The little boy rides his bicycle in a race .
1075716537_62105738b4.jpg#4,The young boy pedals quickly at a BMX race .
107582366_d86f2d3347.jpg#0,A group of eight people are gathered around a table at night .
107582366_d86f2d3347.jpg#1,A group of people gathered around in the dark .
107582366_d86f2d3347.jpg#2,A group of people sit around a table outside on a porch at night .
107582366_d86f2d3347.jpg#3,A group of people sit outdoors together at night .
107582366_d86f2d3347.jpg#4,A group of people sitting at a table in a darkened room .
1079274291_9aaf896cc1.jpg#0,A little boy sticks his tongue out for the camera . Another boy looks on .
1079274291_9aaf896cc1.jpg#1,Two boys make faces .
1079274291_9aaf896cc1.jpg#2,"Two young boys are looking at the camera , one smiling , the other sticking his tongue out ."
1079274291_9aaf896cc1.jpg#3,Two young boys look up at the camera as one sticks out his tongue .
1079274291_9aaf896cc1.jpg#4,two young boys making silly faces .
1082379191_ec1e53f996.jpg#0,A lady and a man with no shirt sit on a dock .
1082379191_ec1e53f996.jpg#1,A man and a woman are sitting on a dock together .
1082379191_ec1e53f996.jpg#2,A man and a woman sitting on a dock .
1082379191_ec1e53f996.jpg#3,A man and woman sitting on a deck next to a lake .
1082379191_ec1e53f996.jpg#4,A shirtless man and a woman sitting on a dock .
1084040636_97d9633581.jpg#0,A closeup of a white dog that is laying its head on its paws .
1084040636_97d9633581.jpg#1,a large white dog lying on the floor .
1084040636_97d9633581.jpg#2,A white dog has its head on the ground .
1084040636_97d9633581.jpg#3,A white dog is resting its head on a tiled floor with its eyes open .
1084040636_97d9633581.jpg#4,A white dog rests its head on the patio bricks .
1084104085_3b06223afe.jpg#0,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
1084104085_3b06223afe.jpg#1,A woman in blue shorts and a white shirt is indoor rock climbing .
1084104085_3b06223afe.jpg#2,The girl is climbing a rock wall .
1084104085_3b06223afe.jpg#3,"The girl is in a harness , climbing rocks ."
1084104085_3b06223afe.jpg#4,Woman climbing an artificial rock wall .
1087168168_70280d024a.jpg#0,A boy is jumping on an inflatable ring and a girl is watching him
1087168168_70280d024a.jpg#1,A boy jumping on a water jumphouse
1087168168_70280d024a.jpg#2,A teenage boy is jumping on an inflatable slide .
1087168168_70280d024a.jpg#3,A young boy jumping and a young girl seating in an inflatable pool .
1087168168_70280d024a.jpg#4,Two young kids are playing in the water on an inflated toy .
1088767354_2acee738cf.jpg#0,A woman in a red costume to the left of a man and woman standing together .
1088767354_2acee738cf.jpg#1,A woman wearing a red costume looks at two other people standing on a street .
1088767354_2acee738cf.jpg#2,A young woman in a red sequined costume and feather stands on the sidewalk .
1088767354_2acee738cf.jpg#3,The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
1088767354_2acee738cf.jpg#4,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
108898978_7713be88fc.jpg#0,Skiiers walking up the hill through a forest .
108898978_7713be88fc.jpg#1,Two men are skiing in the snow in a wooded area .
108898978_7713be88fc.jpg#2,Two people wearing yellow jackets cross-country skiing .
108898978_7713be88fc.jpg#3,Two skiers are making their way through woodland .
108898978_7713be88fc.jpg#4,Two skiers are sliding down a trail in the woods .
1089755335_0bfbfd30e6.jpg#0,A mother and children is fishing on a boardwalk at night .
1089755335_0bfbfd30e6.jpg#1,A woman and three children stand on a deck with a fishing pole .
1089755335_0bfbfd30e6.jpg#2,A woman stands with children on a boardwalk at night overlooking the sea .
1089755335_0bfbfd30e6.jpg#3,Some people on a pier at night with one girl fishing off it .
1089755335_0bfbfd30e6.jpg#4,Woman with three children fishing over boardwalk in the evening .
109202801_c6381eef15.jpg#0,Two draft horses pull a cart through the snow .
109202801_c6381eef15.jpg#1,Two golden brown horses pull a sleigh driven by a woman in a blue coat .
109202801_c6381eef15.jpg#2,Two horses are pulling a woman in a cart .
109202801_c6381eef15.jpg#3,Two horses pull a carriage driven by a woman over snow covered ground .
109202801_c6381eef15.jpg#4,Two horses pulling a sled steered by a smiling blond woman .
109260218_fca831f933.jpg#0,People stand inside a rock dome .
109260218_fca831f933.jpg#1,Shaft of light in a cave shows three spelunkers
109260218_fca831f933.jpg#2,Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
109260218_fca831f933.jpg#3,three people sit in a cave .
109260218_fca831f933.jpg#4,Three rock climbers are posing on big rocks .
109823397_e35154645f.jpg#0,A man jumps gin the air while riding an ATV
109823397_e35154645f.jpg#1,A man on a four-wheeler jumps near a small building .
109823397_e35154645f.jpg#2,An ATV is airborne over a field in front of a white structure .
109823397_e35154645f.jpg#3,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
109823397_e35154645f.jpg#4,Man on four wheeler in the air .
1107246521_d16a476380.jpg#0,a black dog jumping to catch a rope toy
1107246521_d16a476380.jpg#1,A black dog playing fetch with a ball of rope .
1107246521_d16a476380.jpg#2,A black dog pounces to get a rope toy .
1107246521_d16a476380.jpg#3,A black dog running after his rope toy .
1107246521_d16a476380.jpg#4,A large black dog is playing in a grassy yard .
111497985_38e9f88856.jpg#0,A kid rock climbing against the backdrop of a green valley
111497985_38e9f88856.jpg#1,A woman in a striped shirt climbs up a mountain .
111497985_38e9f88856.jpg#2,A young man climbs a rocky hill .
111497985_38e9f88856.jpg#3,The person has a striped shirt on and is holding on to a rope on a mountain .
111497985_38e9f88856.jpg#4,The person in the striped shirt is mountain climbing .
111537217_082a4ba060.jpg#0,A man climbing a rock wall
111537217_082a4ba060.jpg#1,A man climbing the side of a cliff .
111537217_082a4ba060.jpg#2,A man is rock climbing .
111537217_082a4ba060.jpg#3,"Man with red shoes , white shirt and grey pants climbing ."
111537217_082a4ba060.jpg#4,The young man with the white t-shirt and jeans is rappeling up the rock wall .
1118557877_736f339752.jpg#0,A little boy stands in the surf .
1118557877_736f339752.jpg#1,A small child wades through the water while being guided by another person .
1118557877_736f339752.jpg#2,A young boy laughs while splashing in the ocean .
1118557877_736f339752.jpg#3,a young boy wearing a colorful bathing suit splashing in the ocean
1118557877_736f339752.jpg#4,A young child splashing in water .
1119015538_e8e796281e.jpg#0,A little tan dog with large ears running through the grass .
1119015538_e8e796281e.jpg#1,A playful dog is running through the grass .
1119015538_e8e796281e.jpg#2,A small dogs ears stick up as it runs in the grass .
1119015538_e8e796281e.jpg#3,The small dog is running across the lawn .
1119015538_e8e796281e.jpg#4,this is a small beige dog running through a grassy field
1119418776_58e4b93eac.jpg#0,A black and white dog is running through the field .
1119418776_58e4b93eac.jpg#1,"A black , brown and white dog running through a field ."
1119418776_58e4b93eac.jpg#2,"A brown , black and white dog is running through a large field with its mouth open ."
1119418776_58e4b93eac.jpg#3,A dog running in a field .
1119418776_58e4b93eac.jpg#4,A dog with its mouth open running through a field torwards the camera .
1129704496_4a61441f2c.jpg#0,A brown and white and a black and white dog hauling in a floating toy from the ocean .
1129704496_4a61441f2c.jpg#1,Both dogs retrieve the play toy from the water .
1129704496_4a61441f2c.jpg#2,Two dogs in the ocean playing with a toy
1129704496_4a61441f2c.jpg#3,Two dogs run through the water with a rope in their mouths .
1129704496_4a61441f2c.jpg#4,Two dogs tug at a chew toy in the surf .
1130369873_d80a1aa59c.jpg#0,A brown dog is running through neck-deep water carrying a tennis ball .
1130369873_d80a1aa59c.jpg#1,A brown dog splashes in the water while carrying a ball in its mouth .
1130369873_d80a1aa59c.jpg#2,A brown dog swims through water outdoors with a tennis ball in its mouth .
1130369873_d80a1aa59c.jpg#3,"A red dog , holding a ball , splashes through vegetation filled water ."
1130369873_d80a1aa59c.jpg#4,"Brown dog with tennis ball in mouth , in water and bushes ."
1131155939_b4b457b05e.jpg#0,A black dog runs into the ocean next to a pile of seaweed .
1131155939_b4b457b05e.jpg#1,"A black lav runs into the water on the beach , with swimmers in the distance and sea kelp in the foreground ."
1131155939_b4b457b05e.jpg#2,"A dog at the shore of an ocean , with seaweed in foreground ."
1131155939_b4b457b05e.jpg#3,A dog is running in the waves at the beach .
1131155939_b4b457b05e.jpg#4,"A pile of seaweed sits on the sand , behind it a big black dog is running in the water ."
1131800850_89c7ffd477.jpg#0,A brown and white dog stands outside while it snows .
1131800850_89c7ffd477.jpg#1,A dog is looking at something near the water .
1131800850_89c7ffd477.jpg#2,A furry dog attempts to dry itself by shaking the water off its coat .
1131800850_89c7ffd477.jpg#3,A white and brown dog shaking its self dry .
1131800850_89c7ffd477.jpg#4,The large brown and white dog shakes off water .
1131804997_177c3c0640.jpg#0,Two men are sitting on the ground and going through their backpacks .
1131804997_177c3c0640.jpg#1,Two men sitting in front of a railing are looking at something .
1131804997_177c3c0640.jpg#2,Two men with backpacks placed in front of them sitting in front of a railing .
1131804997_177c3c0640.jpg#3,Two men with backpacks are sitting on cardboard along a railing .
1131804997_177c3c0640.jpg#4,Two older men with backpacks sit at a bus station .
1131932671_c8d17751b3.jpg#0,A boy is jumping on a bed .
1131932671_c8d17751b3.jpg#1,A boy jumped up from the green bed .
1131932671_c8d17751b3.jpg#2,A boy jumps from one bed to another .
1131932671_c8d17751b3.jpg#3,A small child is jumping on a bed .
1131932671_c8d17751b3.jpg#4,The boy in blue shorts is bouncing on the bed .
113678030_87a6a6e42e.jpg#0,A snowboarder sits on a slope with skiers and boarders nearby .
113678030_87a6a6e42e.jpg#1,A snowboarder takes a rest on the mountainside .
113678030_87a6a6e42e.jpg#2,Snowboarders sitting in the snow while skiers take the hill .
113678030_87a6a6e42e.jpg#3,The snowboarder is sitting down .
113678030_87a6a6e42e.jpg#4,"Two skiers stand , two sit on slopes ."
1138784872_69ade3f2ab.jpg#0,A girl in green walks down a city street .
1138784872_69ade3f2ab.jpg#1,A small child in green clothing walks past a store opening and a woman in pink pants .
1138784872_69ade3f2ab.jpg#2,A small child walks down a sidewalk .
1138784872_69ade3f2ab.jpg#3,A young boy is walking in front of some stores
1138784872_69ade3f2ab.jpg#4,The child in the green one piece suit is walking past a store window .
114051287_dd85625a04.jpg#0,A boy dressed in soccer attire and holding his shoes getting out of a car .
114051287_dd85625a04.jpg#1,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
114051287_dd85625a04.jpg#2,A boy in glasses is wearing a red shirt .
114051287_dd85625a04.jpg#3,A child getting out of the car wearing soccer shoes .
114051287_dd85625a04.jpg#4,A young boy gets out of the van and prepares his shoes for wear during a soccer game .
1141718391_24164bf1b1.jpg#0,"A bridge through high green plants , a man and a woman on it ."
1141718391_24164bf1b1.jpg#1,A man and a woman are crossing over a rope bridge with greenery all over them .
1141718391_24164bf1b1.jpg#2,A man and a woman are walking across a rope bridge .
1141718391_24164bf1b1.jpg#3,A man and a woman crossing a suspension bridge in a tropical setting .
1141718391_24164bf1b1.jpg#4,Woman and man walking across wooden rope bridge with a caution sign beside it .
1141739219_2c47195e4c.jpg#0,A family gathered at a painted van
1141739219_2c47195e4c.jpg#1,A girl climbing down from the side of a bright blue truck while others watch .
1141739219_2c47195e4c.jpg#2,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1141739219_2c47195e4c.jpg#3,A very colorful bus is pulled off to the side of the road as its passengers load .
1141739219_2c47195e4c.jpg#4,Two women and four children standing next to a brightly painted truck .
1142283988_6b227c5231.jpg#0,A blond woman poses with a person in a pink costume .
1142283988_6b227c5231.jpg#1,A smiling woman holds a person dressed in a pig costume .
1142283988_6b227c5231.jpg#2,A young woman hugs a young man who 's wearing a pink costume .
1142283988_6b227c5231.jpg#3,"Blond embracing young man in pink costume , at event"
1142283988_6b227c5231.jpg#4,Two people are hugging and one is wearing a pink-hooded stretch top .
1143373711_2e90b7b799.jpg#0,A bicycle rider is crossing a street .
1143373711_2e90b7b799.jpg#1,A bicyclist getting ready to cross a street .
1143373711_2e90b7b799.jpg#2,A biker in spandex riding on a busy street .
1143373711_2e90b7b799.jpg#3,A man in blue and white biking gear rides down a busy street .
1143373711_2e90b7b799.jpg#4,a man wearing a helmet riding his bicycle down the street .
1144288288_e5c9558b6a.jpg#0,A man in shorts is jogging along a street with a headset .
1144288288_e5c9558b6a.jpg#1,A person in blue shorts and wearing a Walkman jogs .
1144288288_e5c9558b6a.jpg#2,A woman in a white shirt and blue shorts is wearing headphones .
1144288288_e5c9558b6a.jpg#3,A woman walks on a street wearing headphones .
1144288288_e5c9558b6a.jpg#4,A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner .
1149179852_acad4d7300.jpg#0,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
1149179852_acad4d7300.jpg#1,A shirtless man escorts a horse pulling a carriage along a paved road .
1149179852_acad4d7300.jpg#2,A shirtless man leading a horse that is pulling a carriage .
1149179852_acad4d7300.jpg#3,Shirtless man leading a small horse-drawn covered wagon down a road
1149179852_acad4d7300.jpg#4,The shirtless man is walking the Shetland pony and carriage down the street .
115684808_cb01227802.jpg#0,Three men are setting up a sledge on a snowy plain .
115684808_cb01227802.jpg#1,Three men loading items on a sled .
115684808_cb01227802.jpg#2,Three people and a sled .
115684808_cb01227802.jpg#3,Three people are standing in the snow preparing an ice fishing boat .
115684808_cb01227802.jpg#4,Three people in the snow put their gear in order .
1160034462_16b38174fe.jpg#0,A elderly man in a straw hat is sitting on a bench .
1160034462_16b38174fe.jpg#1,a elderly man sits alone on a park bench .
1160034462_16b38174fe.jpg#2,An old man in a straw hat sits on a park bench .
1160034462_16b38174fe.jpg#3,The old man in the brown hat is sitting on the bench .
1160034462_16b38174fe.jpg#4,White haired man in gray sweater and a straw hat sitting on a bench under a tree .
1160441615_fe6b3c5277.jpg#0,Three girls are walking across a bridge covered with wood and surrounded by trees .
1160441615_fe6b3c5277.jpg#1,Three girls walking along an arched garden pathway .
1160441615_fe6b3c5277.jpg#2,Three girls walk under an arbor on a path surrounded by trees .
1160441615_fe6b3c5277.jpg#3,Three women walking through a tunnel in a park .
1160441615_fe6b3c5277.jpg#4,Three women walk through a plant covered atrium hallway .
1164131282_b30926f332.jpg#0,A grey dog beside a black and white dog running in green grass .
1164131282_b30926f332.jpg#1,two dogs are wrestling in a grassy field .
1164131282_b30926f332.jpg#2,"two dogs , playing in a field , wrestling with each other"
1164131282_b30926f332.jpg#3,Two dogs run along a grassy field while one bites the other .
1164131282_b30926f332.jpg#4,Two dogs wrestle in a field .
1164765687_7aca07bbe7.jpg#0,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
1164765687_7aca07bbe7.jpg#1,A man in a red shirt is giving toys to a small dog .
1164765687_7aca07bbe7.jpg#2,A man is playing tug of war with his dog .
1164765687_7aca07bbe7.jpg#3,A man playing with a black dog on a white blanket .
1164765687_7aca07bbe7.jpg#4,A man playing with his dog on the blanket on the floor .
1167669558_87a8a467d6.jpg#0,A man in yellow grimaces .
1167669558_87a8a467d6.jpg#1,a man wearing a yellow shirt with a dramatic look on his face
1167669558_87a8a467d6.jpg#2,The man in the yellow t-shirt is pulling a large grin on his face .
1167669558_87a8a467d6.jpg#3,"There is a man , wearing a yellow shirt , and grimacing ."
1167669558_87a8a467d6.jpg#4,This man is smiling very big at the camera .
1167908324_8caab45e15.jpg#0,A man is standing by a group of video games in a bar .
1167908324_8caab45e15.jpg#1,a man standing in a bar with a neon beer sign hanging on the wall
1167908324_8caab45e15.jpg#2,A man stands next to a bank of computer gambling machines .
1167908324_8caab45e15.jpg#3,A man stands next to three video game machines and a beer sign .
1167908324_8caab45e15.jpg#4,A man stands next to three video machines .
1169307342_e7a4685a5c.jpg#0,A big brown dog plays with a smaller grey dog on the grass .
1169307342_e7a4685a5c.jpg#1,The dark brown dog is playing with the light brown dog .
1169307342_e7a4685a5c.jpg#2,Two brown dogs are running through the grass .
1169307342_e7a4685a5c.jpg#3,Two brown dogs run side by side .
1169307342_e7a4685a5c.jpg#4,Two dogs running and playing rough in the grass .
1174525839_7c1e6cfa86.jpg#0,A girl in blue is jumping on the shore as small waves approach her .
