English,Telugu
You let two unknown men enter this house uninvited.,మీరు రెండు తెలియని పురుషులు ఈ ఇల్లు గుర్తించని ఎంటర్ వీలు.
Boys!,బాయిస్!
"Oh, I can't help it if I'm still in love with you","నేనుమీరుతోప్రేమలోఇప్పటికీ am ఉంటే ఓహ్, నేను సహాయం చేయలేరు"
"I'm Meat Loaf, all right?","నేను మీట్ లోఫ్, అన్ని నిజం?"
"Okay, I'm gonna go put my shoes back on.","సరే, నేను తిరిగి నా బూట్లు చాలు వెళ్ళి గొన్న వద్ద."
"That's him, next light.","ఆ తరువాత కాంతి, అతను."
A horse gift.,ఒక గుర్రం బహుమతి.
Give me the power Of man's red flower,నాకువ్యక్తియొక్కఎరుపుపుష్పంశక్తి ఇవ్వండి
Jacobs.,జాకబ్స్.
"I can't breathe, I can't breathe!","నేను ఊపిరి కాదు, నేను ఊపిరి కాదు!"
Glad you could make it.,మీరు చేయగలిగితే సంతోషిస్తున్నాము.
[ TELEPHONE LINE RINGS ],[టెలిఫోన్ లైన్ వలయాలు]
Can you tell me a story?,మీరు నాకు ఒక కథ వివరంగా చెప్పగలరా?
L.,L.
L-,L
Cheers to you guys.,మీరు అబ్బాయిలు కు చీర్స్.
Do you know any other tricks?,మీరు ఏ ఇతర మాయలు తెలుసా?
I'm going to church.,నేను చర్చి నేను.
- Free hand.,- ఉచితచేతి.
"Hi, Mom, it's Candy.","ఎక్కువ,Mom,అదికాండీఉంది"
Even,కూడా
"So why are you doing this, then?","ఎందుకు మీరు, ఈ చేయడం ఉన్నాయి?"
- YOU WERE GONNA KILL ME? - Girl:,- నువ్వు నన్ను చంపడానికి గొన్న ఉన్నాయి?
"- COME ON, COME ON.","- రా, రా"
"Yeah, non-stop action over there at the Treasury.","ట్రెజరీలో అక్కడ పైగా అవును, కాని స్టాప్ చర్య."
He learned you could be happy working with folks.,అతనుమీరుచేసారోతోపనిసంతోషంగా కావచ్చు నేర్చుకున్నాడు
Jaye?,జాయే?
You wanker!,మీరు పనికిరాని!
Two days after when they left you for dead.,రెండు రోజుల చనిపోయిన కోసం మీరు వదిలి ఉన్నప్పుడు తర్వాత.
"- - Lynne."" -",Lynne.
Jaye.,జాయే.
"- Say, would you like to go golfing?","- సే, మీరు golfing వెళ్ళాలనుకుంటున్నారా?"
"What're you doing out here, playing guitar in this cold?","What're మీరు ఇక్కడే చేయడం, ఈ చలి గిటార్ ప్లే ?"
"Now, I'm going to close my eyes and count to ten.","ఇప్పుడు, నేను నా కళ్ళు మూసివేసి, పది లెక్కించడానికి వెళ్ళిపోతున్నాను."
- Sergeant Marvin...,- సార్జెంట్ మార్విన్...
"It would be my pleasure, sir.","ఇది నా ఆనందం ఉంటుంది, సర్."
Keep coming.,రానివ్వు.
Hi.,ఎక్కువ.
It started with that fateful call.,ఇది అదృష్ట కాల్ ప్రారంభమైంది.
"Mr. Wells, sir, I ain't got any money.","మిస్టర్ వెల్స్, సర్, నేను ఏ డబ్బు వచ్చింది లేదు ."
They fucking got on the ground.,వారు నాశనం మైదానంలో వచ్చింది.
It's a sedative that causes anterograde amnesia.,ఇది పర స్మృతి కలిగిస్తుంది ఉపశమన ఉంటుంది.
I want it sorted.,నేనుక్రమబద్ధీకరించబడిందికావలసిన
And found he was in both feet.,మరియు అతను రెండు అడుగుల లో దొరకలేదు.
Nothin'.,నథింగ్ '.
"But that's how investment works, man.","కానీ, పెట్టుబడి ఎలా పనిచేస్తుంది మనిషి."
Fact.,నిజానికి.
"Girls, I know Italians like to eat late.","గర్ల్స్, నేను ఇటాలియన్లు చివరి తినడానికి ఇష్టం తెలుసు."
Or something?,లేదా ఏదో?
Why don't you come down with me?,ఎందుకు మీరు నాతో వచ్చి లేదు?
"And, yes.","మరియు, అవును."
- Let me see that.,- నాకు ఆ చూద్దాం.
And I am home.,నేనుఇంటికిam
You don't know who the Boss is?,మీరు బాస్ ఎవరు తెలియదు?
Go ahead.,కొనసాగి.
"That wasn't cool, man.","ఇది మంచి, వ్యక్తి."
( inhales sharply ) WHO HIRED YOU?,మీరు నియమించుకున్న (హోవర్ పీల్చుకున్న)?
(THUNDER CRACKING),(THUNDER క్రాకింగ్)
"Now I want you to relax, Simon.","ఇప్పుడు నేను మీరు , సైమన్ విశ్రాంతి అనుకుంటున్నారా."
My Zeus satellites are moving into position over your six remaining countries.,నా జ్యూస్ ఉపగ్రహాలు స్థానం లోకి తరలిస్తున్న మీ ఆరు మిగిలిన దేశాల.
Thirty minutes?,ముప్పై నిమిషాల?
"I got head trauma, six-year-old girl, she's fading!","నేను తల నొప్పి వచ్చింది, ఆరు ఏళ్ల అమ్మాయి, ఆమె తగ్గుతోందని!"
I'LL GIVE YOU FIVE GRAND IN CASH.,నేను నగదు మీరు FIVE GRAND ఇస్తాము.
Degas.,డేగాస్.
Here's my favourite part.,ఇక్కడ నా అభిమాన భాగం.
"I'm sorry, I'm sorry.","నేను క్షమించండి, నేను క్షమించండి పోస్ట్."
"We had all of our money in that fund and it's... it's gone, isn't it?",మేము పెట్టుబడి లో మా డబ్బు అన్ని కలిగి మరియు అది... అది పోయింది లేదు?
"- I told you I'd front you, didn't I?","- జిమ్మీ: నేను, నేను ముందు మీరు చేస్తాను మీరు లేదు చెప్పారు?"
"That's right, reporter.","హక్కు, విలేఖరి."
"Meet me at the football field, but don't tell your mother.","ఫుట్బాల్ రంగంలో, వద్ద నాకు మీట్ కానీ మీ తల్లి చెప్పండి లేదు."
"Free of this song, sad routine we're all locked into.","ఈ పాట, మేము అన్ని లోకి లాక్ విచారంగా సాధారణ యొక్క ఉచిత."
The bubbles seem to have dissipated.,బుడగలు అదృశ్యమయ్యాయి.
Be nice.,మర్యాదగా ఉండండి.
What about Louis?,ఏం లూయిస్ గురించి?
And what would you call it?,మరియు మీరు ఏమి అంటారని?
We call it transference.,మేము అది రూపాంతరం కాల్.
"After that, nature took over.","ఆ తరువాత, స్వభావం చేపట్టాడు."
You gave me what I need.,మీరు నేను అవసరం ఏమి నాకు ఇచ్చిన
- COULD YOU GET IN THE BACK?,- మిమ్మల్ని IN పొందలేరు?
Except that guy-,ఆ వ్యక్తి-తప్ప
That e very temptation he '5 gonna give you a way out.,ఆయనమీరుఒక మార్గంఇవ్వాలని చెప్పేవాడు ప్రతి టెంప్టేషన్
- How's that?,- ఎంత ఏమిటి?
You're my brother.,మీరు నా సోదరుడు ఉన్నాయి.
They decide to punish the country.,వారు దేశం శిక్షించే నిర్ణయించుకుంటారు
People just the same as us.,ప్రజలుకేవలంమాకుఅదే
JUST TAKE THIS...,ఈ తీయి...
I must go or you will all be in danger.,"నేను, వెళ్ళి లేదా మీరు అన్ని ప్రమాదంలో ఉంటుంది తప్పక."
And this is testosterone.,ఈ టెస్టోస్టెరోన్ ఉంది.
"Well, let's hear it, if you don't mind.","మీరు చూసుకొని లేకపోతే బాగా, , దానిని వినడానికి వీలు."
Tucker.,Tucker.
"Well, you passed your audition.","బాగా, మీరు మీ ఆడిషన్ ఆమోదించింది."
He's so cute.,అతను అందమైన ఉంది.
Understood.,అర్ధంచేసుకోకలిగిన.
Listen to ol' Baloo!,0l 'Baloo వినండి!
Tucker?,Tucker?
"Hey, Lendie.","హే, రుణ."
Tucker:,Tucker:
- I just missed you so much.,- నేను మీరు దూరమయ్యాడు.
"In the meantime, you rest up.","LN సమయంలో, మీరు అప్ విశ్రాంతి."
"I ""went out for ice cream"" once with your dad.","నేను మీ తండ్రి తో ఒకసారి ""ఐస్ క్రీమ్ కోసం బయటకు వెళ్లి""."
Ask yourself.,మిమ్మల్ని మీరే ప్రశ్నించుకోండి.
I think I actually left that five at home.,నేను నిజానికి వదిలి భావించే ఇంట్లో ఐదు.
Coils?,కాయిల్స్?
So you're the man cub.,"సో, మీరు మనిషి పిల్ల ఉన్నాయి. క్రేజీ!"
"Come back later in the week, I'll have some cash for you then.",", వారం తరువాత తిరిగి రండి నేను మీకు కొన్ని నగదు ఉంటుంది."
- With squirt guns!,- ఇంజక్షను సూది తుపాకులతో!
Don't leave us.,మాకు ఉంచవద్దు.
"Oh, my fucking heart!","ఓహ్, నా ఫకింగ్ గుండె!"
"You can stop calling me ""sir.""","మీరు నాకు కాల్ మానివేయవచ్చు ""సర్."""
- - Let's go!,- యొక్క వెళ్ళి తెలపండి!
I'm bringing him out.,నేను అతనిని తీసుకురావాలని చేస్తున్నాను.
Then I am satisfied.,అప్పుడు నేను సంతృప్తి చేస్తున్నాను.
I know you bedazzled them yourself.,నేను మీరు వాటిని మీ బీడాజిల్ద్ తెలుసు.
I can't even believe it.,నేను కూడా అది నమ్మలేకపోతున్నాను.
- And in five seconds we just shoot you.,- మరియు ఐదు సెకన్లలో మేము మిమ్మల్ని షూట్.
As you did with the man in your apartment.,మీరు మీ అపార్ట్మెంట్ లో మనిషి చేసిన గా.
And remember everything we talked about!,మరియు మేము గురించి మాట్లాడారు ప్రతిదీ గుర్తుంచుకోవాలి!
"Rance, it's Burt.","Rance, అది బర్ట్ ఉంది."
This is yours.,ఈ మీదే.
- Jane.,- జేన్.
His name is Anton Marvelton.,అతనిపేరుఅంటోన్Marveltonఉంది
- Hey. Jaye!,"- హే, జాయే!"
I'm gonna look at these photos another way.,నేను ఈ ఫోటోలు మరొక రూపంలో గొన్న వద్ద.
"I need something, Sorbonne.","నేను ఏదో, Sorbonne అవసరం."
Is Beatrice there?,అక్కడ ls బీట్రైస్?
"Snake Eyes, you have earned the Blade of Justice.","స్నేక్ ఐస్, మీరు జస్టిస్ బ్లేడ్ పొందారు."
(CAR DOOR CLOSES),(CAR DOOR ముగిసిన)
Failure to participate will be considered an act of war.,పాల్గొనేందుకు వైఫల్యం యుద్ధ చర్య పరిగణించబడుతుంది.
Go ask mama.,మామా అడగండి వెళ్ళండి.
"This thing could be a Code Zero in a matter of minutes... and if we're not prepared, I'm calling in The Bag.","ఈ విషయం నిమిషాల విషయం లో ఒక కోడ్ జీరో కావచ్చు... మేము సిద్ధం కాకపోతే మరియు, నేను బాగ్ లో కాల్ చేస్తున్నాను."
Dance?,డాన్స్?
"Later, Hiccups.","తర్వాత, ఎక్కిళ్ళు."
"No! No. N-N-Now, now we don't do that here in the jungle.","తోబుట్టువుల సంఖ్య నం, ఇప్పుడు, మేము ఇక్కడ ఆ లేదు..."
"Oh, go away and leave me alone.",దూరంగా వెళ్లి ఒంటరిగా నన్ను వదిలి.
Summertime.,సమ్మర్టైం.
"My mother- You know, same old sob story.","మీరు తెలుసు నా తల్లి- , అదే పాత విషాద కధ."
"It's for you, sweetie.",ఇది స్వీటీ మీ కోసం.
Sorry about the tap I gave you.,క్షమించాలి పంపు గురించి నేను మీరు ఇచ్చిన.
That's a pity.,ఆ ఒక జాలి ఉంది.
- JOE 1; Medic!,మరోవైపుయుద్ధక్షేత్రంలోవైద్య!
Activate Compound One.,కాంపౌండ్ ఒక సక్రియం.
Take her to my room!,నా గదిలోకి ఆమె టేక్!
I saw something today that made me lose my appetite.,నేను నా ఆకలి కోల్పోతారు చేసిన ఈరోజు చూసింది.
Here?,ఇక్కడ ?
Here.,ఇక్కడ.
"Yes, it does.","అవును, అది."
Take your flea-pickin' hands off of my cub!,మీ మిణ్ణల్లి pic టేక్: నా చిన్నప్పుడు యొక్క బంధువు 'చేతులు ఆఫ్!
"Let's go, Rivera, let's go.","లెట్స్లెట్స్గో,రివెరావెళ్ళండి."
That much I do fucking know.,నేను నాశనం లేని చాలా తెలుసు.
It's not a party.,ఇది ఒక పార్టీ కాదు.
Where you headed to?,మీకు నేతృత్వంలో ఎక్కడ?
"Well, come on.","బాగా, న వస్తాయి."
You wouldn't believe me if I told you.,నేను మీరు చెప్పారు ఉంటే మీరు నాకు నమ్మకం లేదు.
"Yes, sir, it is.","అవును, సర్, ఇది."
I'm sorry to have disrupted your vacation.,నేను మీ సెలవు భంగం కలిగి విచారిస్తున్నాను.
"- Now, believe me, kid, I...","- ఇప్పుడు, మేకపిల్ల, I. నాకు నమ్మకం .."
"Fuck your bitches looking at, man?","మీ bitches మనిషి, చూడటం ఫక్?"
Laszlo.,లాజ్లో.
"I got a note, too.","నేను చాలా, ఒక గమనిక వచ్చింది."
I knew you was trouble the moment you walked into this--,నేను మీరు ఈ లోకి వెళ్ళిపోయాడు క్షణం ఇబ్బంది తెలిసిపోయింది -
You persist.,మీరు అంటిపెట్టుకుని.
- (LAUGHING) - Enemy contact!,(లాఫింగ్)ఎనిమీపరిచయం!
Call it in.,అది సైన్ కాల్
Tough bitches up in here.,ఇక్కడ టఫ్ bitches అప్
The client asked me to take a shower.,క్లయింట్ ఒక షవర్ పడుతుంది అడిగాడు.
How we doing?,మేము చేస్తున్న ఎలా?
"Oh, a surprise, huh?","ఒక ఆశ్చర్యం, హుహ్?"
"Oh yeah, I got 2 left, shrapnel.","అవును, నేను 2 ఎడమ, పదునైన వచ్చింది."
But I wish you all the best with your struggle.,కానీ నేను మీ పోరాటం తో అన్ని ఉత్తమ అనుకుంటున్నారా.
-It's not gonna happen.,-ఇది జరగదు ఉంది.
"I don't know, brother, ask him. DOKE:","- నాకు తెలీదు, సోదరుడు, అతనిని అడగండి."
"SIDE POCKET, MATE.","SIDE పాకెట్, సభ్యుడు."
GO ON.,కొనసాగుతాయి.
- (COUGHS),(కొనసాగేదగ్గుకు)
Ray! - You wanna add something?,- మీరు దీన్ని యాడ్ ఏదో?
"Let's keep those heels together, shall we, son?","కలిసి ఆ heels ఉంచేందుకు యొక్క లెట్, మేము, కుమారుడు వలెను?"
I just don't wanna catch a cold.,నేను దీన్ని చల్లని అందుకోలేని.
"Yes, you can!","అవును, మీరు చెయ్యగలరు!"
- He said the same thing I did.,- అతను నేను చూసిన విషయం చెప్పారు. - రచయిత?
DARCY ON PHONE:,ఫోన్లోడార్సీ:
"Yes, you can.","- [NORMAL వాయిస్లో] అవును, మీరు చెయ్యగలరు."
Says just what you want to hear...,మీరు వింటారా కేవలం ఏమి చెప్పారు...
-Can we trust him?,- మేము అతనికి విశ్వసిస్తే?
AND WHAT WITH THE ROADS AROUND HERE--,మరియు ఇక్కడ చుట్టూ ఉన్న రహదారులు తో -
That's mean.,అర్థం ఉంది.
You made me lose count.,మీరు నాకు మొత్తం కోల్పోతారు తయారు.
I really need to speak to the sheriff.,నేను షెరీ మాట్లాడటానికి కావలసిన.
All Joes are accounted for.,అన్నిJoesలెక్కలోకిఉంటాయి
And who might that be?,ఎవరు అని ఉంటుంది?
"No, no, let me take you out or something.","సంఖ్య, ఏ, నాకు మీరు చేద్దామని లేదా ఏదో వీలు."
Whoo! What?,ఏమిటి?
They got taxis for that shit.,వారు ఆ ఒంటి కోసం టాక్సీలు వచ్చింది.
"I'm sorry to hear that, Vika.","వినడానికి నేను విచారిస్తున్నాను ఆ, Vika"
"♪ Declining a culture, its roots undermined ♪","♪సంస్కృతిక్షీణించడం,నిర్లక్ష్యం దానిమూలాలను♪"
Thinks I'm worthless.,నేను చెయ్యని am థింక్స్.
"I'm gonna get the money back, I'm gonna fix this.","నేను ఈ పరిష్కరించడానికి గొన్న వద్ద , తిరిగి డబ్బు గొన్న వద్ద."
"Yeah, I found the pipe...","అవును, నేను పైపు దొరకలేదు..."
"And remember, an elephant never forgets.","ఇంకా గుర్తుంచుకోండి, ఒక ఏనుగు మర్చిపోడు."
"You know, you make something up.","మీరు అప్ ఏదో తయారు , తెలిసిన."
"- Baby, I'm getting tired of this.","- బేబీ, నేను ఈ అలసిపోతుంది పొందుతున్నాను."
Whoo-hoo!,Whoo-hoo!
All our men accounted for.,అన్ని మా పురుషులు లెక్కలోకి.
They'll grow on you.,వారు మీరు పెరుగుతాయి చేస్తాము.
Do not launch anything until I do some recon.,నేను కొన్ని రీకన్ చేసే వరకు ఏదైనా లాంచ్ లేదు.
He just had a rough night.,అతను కేవలం ఒక కఠినమైన రాత్రి.
It's happening.,ఇది జరిగింది.
YOU WANT TO TOUCH ME?,యూ టచ్ అనుకుంటున్నారా?
"WE'RE LIKE PARTNERS IN CRIME NOW, YOU KNOW.","మేము ఇప్పుడు క్రైమ్ PARTNERS లాగ ఉన్నాము , మీకు తెలిసిన."
"And will probably run you, I say $25.","మరియు బహుశా మీరు అమలవుతాయి, నేను $ 25 చెప్పటానికి."
so I want to set the whole world on fire.,నేను అగ్ని మొత్తం ప్రపంచ సెట్ చేయదలిచిన కాబట్టి.
I'm here with you.,నేను మీరు ఇక్కడ am.
Await further instruction.,మరింత సూచనల కోసం ఎదురు చూడండి.
- And you're dead.,- మరియు మీరు చనిపోయినపుడు.
Get those numbers!,ఆ సంఖ్యలను పొందండి!
TWIN 1:,TWIN1 :
"Sure, sure, sure.","ఖచ్చితంగా, ఖచ్చితంగా, ఖచ్చితంగా."
"No, he didn't.","సంఖ్య, తాను."
Caught between everything,ప్రతిదీమధ్యక్యాచ్
Get a life and leave my life alone.,ఒక జీవితం పొందండి మరియు నా జీవితంలో ఒంటరిగా వదిలి.
"Why don't you swing low, sweet chariot","ఎందుకుమీరుతక్కువ, తీపి రథం స్వింగ్ లేదు"
"look at the, look at the right screen.","చూడండి, కుడి తెర చూడండి."
Lesbian?,లెస్బియన్?
- (YELLS) - (ALL SHOUTING),(అరుస్తుంటారు) (ALLఅరవటం)
"Oh, you loved it!",మీరు ప్రియమైన!
"Tell me what, Baloo?","నాకు ఏమి, Baloo చెప్పండి?"
Never ever lasted too long.,ఎప్పుడూ చాలా పొడవుగా కొనసాగింది ఎప్పుడూ.
(CLASSIC ROCK MUSIC PLAYING),(క్లాసిక్ రాక్ సంగీత సాధన)
Later.,తర్వాత.
I don't even know you and--,నేను కూడా మీరు తెలియదు మరియు -
You seem like an open-minded crowd.,మీరు ఒక విశాల గుంపు వంటి అనిపించవచ్చు.
Me too.,చాలా నా.
- MAN:,MAN:
"JANE: No, Burt!","తోబుట్టువుల సంఖ్య, బర్ట్!"
How about those Steelers?,ఎలా ఆ స్టీలర్స్ గురించి?
The drones are programmed...,డ్రోన్లు ప్రోగ్రామ్ చేయబడి ఉంటాయి...
- He never learns.,- అతను తెలుసుకుంటాడు ఎప్పుడూ.
( sheep growls ),(గొర్రెలు ఊళ)
Sometimes they send me to the hospital.,కొన్నిసార్లు వారు ఆసుపత్రికి పంపండి.
( lighter strikes ),(తేలిగ్గా దాడులకు)
"Okay, no.","సరే, ఏ."
"- WELL, WAKE HIM UP.","-WELL,అతనికిమేల్కొలపడానికి"
"Hang on, we're gonna kill him anyway, aren't we?","ఆగండి, మేము, ఏమైనప్పటికీ అతన్ని చంపడానికి లేదు గొన్న ఉంటాయి?"
(TIRES SCREECH) CYCLIST: Hey!,(TIRES బిగ్గరగా అరచు) సైక్లిస్ట్:
But their daughters...,కానీ ఆమె కుమార్తెలు.
Great chieftain o' the pudding-race!,గ్రేట్ నాయకుడు o' పుడ్డింగ్-రేసు!
Air support on the way.,మార్గంలో ఎయిర్ మద్దతు.
I work at the garage.,నేను గారేజ్ వద్ద పని.
I'm his only living relative.,నేను తన సజీవ సంబంధిత am.
They're alive.,వారు జీవించి ఉన్నారు.
I'm pregnant.,నేను గర్భవతి am.
"If you let me go, he will spare you.","మీరు లెట్ మి గో ఉంటే, అతను మీరు ఇంకొక ఉంటుంది."
Have you ever met a scav up close?,మీరు ఎప్పుడైనా దగ్గరగా ఒక scav అప్ కలిసారా?
No Jack Abel tonight?,జాక్ అబెల్ రాత్రి?
You've risked all our lives. Everything.,మీరు అన్ని మా జీవితాలను పణంగా చేశారు.
We sure do.,మేము ఖచ్చితంగా ఏమి.
Do not tell me what to do.,నాకు ఏమి చెప్పండి లేదు.
Talk about his girlfriend.,తన స్నేహితురాలు గురించి చర్చ.
"This new guy, he excites you.","ఈ కొత్త వ్యక్తి, అతను మీరు ఉత్తేజపరుస్తుంది."
"- Well, there's one.","- వెల్, ఒక ఉంది."
I'll take care of him.,నేను అతన్ని జాగ్రత్తగా పడుతుంది.
Sometimes I even...,కూడా కొన్నిసార్లు నేను...
And this key was taped to it.,ఈ కీ రికార్డ్ చేశారు జరిగినది.
- Nothing!,- నథింగ్!
Just got out of poker.,జస్ట్ పేకాట బయటకు వచ్చింది.
- Nothing.,- నథింగ్.
He wanted me to thank you for that.,అతను నాకు ఆ ధన్యవాదాలు కోరుకున్నాడు.
His name is Yeonsak Kang.,అతని పేరు Yeonsak కాంగ్ ఉంది.
- Look at all this.,- అన్ని ఈ లో చూడండి.
Welcome to the Joes.,Joes స్వాగతం.
Out where a friend...,అవుట్పేరుఒక స్నేహితుడు...
You can see she has excellent genes.,మీరు ఆమె అద్భుతమైన జన్యువులు కలిగి ఉంది చూడగలరు.
Now there's no time to lose.,ఇప్పుడు కోల్పోవడం సమయం లేదు.
I saw my brother today.,- నేను ఈ రోజు నా సోదరుడు చూసింది.
- if you deviate from my instructions...,- మీరు నా సూచనలను నుండి మారుతూ ఉంటే...
"I apologize for the delay, Your Honor.","ఆలస్యం, మీ గౌరవానికి నేను చింతిస్తున్నాము."
Troopers!,ట్రూపర్స్!
MAN 2: Blotto's down.,విపరీతముగా త్రాగిన స్థితిలోనున్న డౌన్ వార్తలు.
There's a saying... in Korea.,ఒక ఉన్నాయి చెపుతూ లో... కొరియాలో.
There's a pen down there.,There'sa పెన్ అక్కడ.
(CAR TIRES SQUEALING),(SQUEALING కారు టైర్లు)
You were saying?,మీరు మాట్లాడుతూ ఉన్నాయి?
Four of our operatives got killed by this guy last night.,మా కార్యకర్తలు నాలుగు గత రాత్రి ఈ వ్యక్తి ద్వారా హత్య కాకముందు.
That's the beauty of nanomites.,ఆ nanomites యొక్క అందం ఉంది.
"Nothing, thanks.","నథింగ్, ధన్యవాదాలు."
What is happening here?,ఇక్కడికి జరుగుతుందో?
"Correction, they will have to answer to me.","కరెక్షన్, వారు నాకు సమాధానం ఉంటుంది ."
- Leave?,"""లీవ్""?"
"Seen his name in the paper, big shot type.","కాగితం, పెద్ద షాట్ రకం తన పేరు కనిపిస్తాయి."
"Nobody knows for sure, you know, but maybe the heat was a factor.","ఎవరూ మీకు ఖచ్చితంగా, కోసం తెలుసు, కానీ ఉండవచ్చు వేడి కారణం."
I just want to be alone!,నేను ఒంటరిగా ఉండాలనుకుంటున్నాను!
